رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
2694;«أَحَقُّ الشُّرُوطِ أَنْ تُوفُوا بِهِ مَا اسْتَحْلَلْتُمْ بِهِ الْفُرُوجَ»;عقبة بن عامر;رواه الجماعة;صحيح (متفق عليه)
2695;«إِنَّ الْمُسْلِمِينَ عِنْدَ شُرُوطِهِمْ»;أبو هريرة;رواه أحمد وأبو داود;صحيح (وله شواهد)
2696;«لَا تَسْأَلِ الْمَرْأَةُ طَلَاقَ أُخْتِهَا لِتَسْتَفْرِغَ صَحْفَتَهَا...»;أبو هريرة;رواه الجماعة;صحيح (متفق عليه)
2697;«نَهَى رَسُولُ اللهِ ﷺ عَنِ الشِّغَارِ»;عبد الله بن عمر;رواه الجماعة;صحيح (متفق عليه)
2698;«لَا شِغَارَ فِي الْإِسْلَامِ»;ابن عمر / جابر بن عبد الله;رواه أحمد ومسلم;صحيح
2699;«أَنَّ النَّبِيَّ ﷺ نَهَى عَنِ الشِّغَارِ، وَالشِّغَارُ أَنْ يُزَوِّجَ الرَّجُلُ ابْنَتَهُ...»;أبو هريرة;رواه أحمد ومسلم والترمذي وصححه;صحيح
2700;قصة نكاح الشغار بين عبد الرحمن بن الحكم وخالد بن المهاجر: «هَذَا الشِّغَارُ الَّذِي نَهَى عَنْهُ...»;عبد الرحمن بن هرمز (عن معاوية);رواه أحمد وأبو داود;صحيح إسناداً
2701;«أَيُّمَا رَجُلٍ زَوَّجَ ابْنَتَهُ عَلَى أَنْ يُزَوِّجَهُ الْآخَرُ ابْنَتَهُ... فَهُوَ شِغَارٌ»;أنس بن مالك;رواه الدارقطني;حسن بشواهده
2702;قصة رد نكاح ابنة عم ليرفع خسيستها: «أَجَزْتُ مَا صَنَعَ أَبِي...»;خنساء بنت خِذام الأنصارية;رواه أحمد والبخاري والسنن;صحيح
2703;«الْأَيِّمُ أَحَقُّ بِنَفْسِهَا مِنْ وَلِيِّهَا، وَالْبِكْرُ تُسْتَأْمَرُ فِي نَفْسِهَا...»;عبد الله بن عباس;رواه أحمد ومسلم والسنن;صحيح
2704;«لَا تُنْكَحُ الْأَيِّمُ حَتَّى تُسْتَأْمَرَ، وَلَا تُنْكَحُ الْبِكْرُ حَتَّى تُسْتَأْذَنَ...»;أبو هريرة;رواه الجماعة;صحيح (متفق عليه)
2705;«تُسْتَأْمَرُ النِّسَاءُ فِي فُرُوجِهِنَّ، فَإِذَا سَكَتَتْ فَهُوَ إِذْنُهَا»;عائشة أم المؤمنين;رواه أحمد والنسائي;صحيح
2706;«الْيَتِيمَةُ تُسْتَأْمَرُ فِي نَفْسِهَا، فَإِنْ صَمَتَتْ فَهُوَ إِذْنُهَا...»;أبو هريرة;رواه أحمد وأبو داود والنسائي والترمذي;صحيح
2707;«لَا تُنْكَحُ الْيَتِيمَةُ حَتَّى تُسْتَأْمَرَ...»;ثوبان / أبو هريرة;رواه أحمد والنسائي;صحيح
2708;«إِذَا أَسْلَمَ الرَّجُلُ وَتَحْتَهُ عَشْرُ نِسْوَةٍ فَلْيَخْتَرْ مِنْهُنَّ أَرْبَعاً»;قيس بن الحارث;رواه أحمد وابن ماجه والدارقطني;صحيح (وله شواهد قوية)
2709;قصة إسلام غيلان بن سلمة وتحته عشر نسوة: «أَمْسِكْ أَرْبَعاً وَفَارِقْ سَائِرَهُنَّ»;عبد الله بن عمر;رواه أحمد والترمذي وابن ماجه;صحيح
2710;«إِذَا أَسْلَمَ الْأَخَوَانِ وَتَحْتَهُمَا أُخْتَانِ...» (ورد ضمناً في قصة نوفل بن معاوية);نوفل بن معاوية الديلي;رواه أحمد والشافعي;صحيح
2711;«أَنَّ رَسُولَ اللهِ ﷺ رَدَّ ابْنَتَهُ زَيْنَبَ عَلَى أَبِي الْعَاصِ بْنِ الرَّبِيعِ بِالنِّكَاحِ الْأَوَّلِ...»;عبد الله بن عباس;رواه أحمد وأبو داود والترمذي وحسنه;صحيح (وقيل معلول والمرفوع أصح)
2712;«أَيُّمَا امْرَأَةٍ غُرَّ بِهَا رَجُلٌ، بِهَا جُنُونٌ أَوْ جُذَامٌ أَوْ بَرَضٌ...»;أثر موقوف عن عمر بن الخطاب;رواه مالك في الموطأ والدارقطني.;صحيح الأثر (وله ألفاظ)
2713;«أَنَّ النِّكَاحَ فِي الْجَاهِلِيَّةِ كَانَ عَلَى أَرْبَعَةِ أَنْحَاءٍ...»;عائشة أم المؤمنين;أخرجه البخاري وأبو داود.;صحيح
2714;«أَسْلَمْتُ وَعِنْدِي امْرَأَتَانِ أُخْتَانِ، فَأَمَرَنِي النَّبِيُّ ﷺ أَنْ أُطَلَّقَ إِحْدَاهُمَا»;الضحاك بن فيروز عن أبيه;رواه الخمسة إلا النسائي، وقال البخاري: في إسناده نظر.;في إسناده نظر
2715;«أَسْلَمَ غَيْلَانُ الثَّقَفِيُّ وَتَحْتَهُ عَشْرُ نِسْوَةٍ فِي الْجَاهِلِيَّةِ...»;عبد الله بن عمر;رواه أحمد وابن ماجه والترمذي، وأعلّه البخاري والترمذي وأحمد بأن معمراً أخطأ في وصله والصحيح الإرسال.;غير محفوظ (معلول بالانقطاع)
2716;«أَنَّ النَّبِيُّ ﷺ رَدَّ ابْنَتَهُ زَيْنَبَ عَلَى زَوْجِهَا أَبِي الْعَاصِ... بِالنِّكاَحِ الْأَوَّلِ...»;عبد الله بن عباس;رواه أحمد وأبو داود وابن ماجه والترمذي وصححه أحمد والبخاري.;صحيح (هو المعتمد في الباب)
2717;«أَنَّ ابْنَةَ الْوَلِيدِ بْنِ الْمُغِيرَةِ كَانَتْ تَحْتَ صَفْوَانَ بْنِ أُمَيَّةَ فَأَسْلَمَتْ...»;ابن شهاب الزهري (بلاغاً);رواه الإمام مالك في الموطأ.;صحيح مرسل
2718;«أَنَّ أُمَّ حَكِيمٍ بِنْتَ الْحَارِثِ بْنِ هِشَامٍ أَسْلَمَتْ يَوْمَ الْفَتْحِ...»;ابن شهاب الزهري (بلاغاً);رواه الإمام مالك في الموطأ.;صحيح مرسل
2719;«أَنَّ النَّبِيَّ ﷺ يَوْمَ حُنَيْنٍ بَعَثَ جَيْشاً إِلَى أَوْطَاسٍ... فَنَزَلَتْ: ﴿وَالْمُحْصَنَاتُ﴾»;أبو سعيد الخدري;أخرجه مسلم والنسائي وأبو داود وأحمد والترمذي.;صحيح
2720;«أَنَّ النَّبِيَّ ﷺ حَرَّمَ وَطْءَ السَّبَايَا حَتَّى يَضَعْنَ مَا فِي بُطُونِهِنَّ»;عرباض بن سارية;رواه أحمد والترمذي.;صحيح
2721;«أَنَّ امْرَأَةً مِنْ بَنِي فَزَارَةَ تَزَوَّجَتْ عَلَى نَعْلَيْنِ...»;عامر بن ربيعة;رواه أحمد وابن ماجه والترمذي وصححه، وأنكره أبو حاتم الرازي.;حسن (وأنكره بعضهم)
2722;«لَوْ أَنَّ الرَّجُلَ أَعْطَى امْرَأَةً صَدَاقاً مِلْءَ يَدَيْهِ طَعَاماً كَانَتْ لَهُ حَلَالاً»;جابر بن عبد الله;رواه أحمد وأبو داود بمعناه.;في إسناده ضعف
2723;«تَزَوَّجْتُ امْرَأَةً عَلَى وَزْنِ نَوَاةٍ مِنْ ذَهَبٍ. قَالَ: بَارَكَ اللهُ لَكَ، أَوْلِمْ وَلَوْ بِشَاةٍ»;أنس بن مالك;رواه الجماعة كلهم.;متفق عليه
2724;«إِنَّ أَعْظَمَ النِّكَاحِ بَرَكَةً أَيْسَرُهُ مُؤْنَةً»;عائشة أم المؤمنين;رواه الإمام أحمد في المسند.;صحيح
2725;«كَانَ صَدَاقُنَا إِذْ كَانَ فِينَا رَسُولُ اللَّهِ ﷺ عَشْرَ أَوَاقٍ...»;أبو هريرة;رواه النسائي وأحمد وزاد: وطبق بيديه وذلك أربعمائة.;صحيح
2726;«كَانَ صَدَاقُهُ لِأَزْوَاجِهِ اثْنَتَيْ عَشْرَةَ أُوقِيَّةً وَنَشّاً... فَتِلْكَ خَمْسُمِائَةِ دِرْهَمٍ»;عائشة أم المؤمنين;أخرجه مسلم وأحمد وأبو داود والنسائي وابن ماجه.;صحيح (رواه الجماعة إلا البخاري والترمذي)
2727;«أَنَّ النَّبِيَّ ﷺ أَعْتَقَ صَفِيَّةَ وَجَعَلَ عِتْقَهَا صَدَاقَهَا»;أنس بن مالك;رواه الجماعة;صحيح (ثابت في الصحيحين)
2728;قصة تزوّج رجل من الأنصار على أربع أواقٍ، وقوله: «كَأَنَّمَا تَنْحِتُونَ الْفِضَّةَ مِنْ عُرْضِ هَذَا الْجَبَلِ!»;أبو هريرة;رواه مسلم;صحيح
2729;«أَنَّ رَسُولَ اللهِ ﷺ تَزَوَّجَ أُمَّ حَبِيبَةَ وَهِيَ بِأَرْضِ الْحَبَشَةِ، زَوَّجَهَا النَّجَاشِيُّ وَأَمْهَرَهَا أَرْبَعَةَ آلافٍ...»;عروة بن الزبير عن أم حبيبة;رواه أحمد والنسائي;صحيح (القصة مشهورة كالتواتر)
2730;حديث الواهبة نفسها: «اذْهَبْ فَقَدْ مَلَّكْتُكَهَا بِمَا مَعَكَ مِنَ الْقُرْآنِ»;سهل بن سعد الساعدي;متفق عليه ورواه الجماعة;صحيح (أعلى درجات الصحة)
2731;«زَوَّجَ رَسُولُ اللهِ ﷺ أَمْرَأَةً عَلَى سُورَةٍ مِنَ الْقُرْآنِ ثُمَّ قَالَ: لَا يَكُونُ لِأَحَدٍ بَعْدَكَ مَهْراً»;أبو النعمان الأزدي;رواه سعيد بن منصور في سننه;مرسل
2732;قصة فتوى ابن مسعود في امرأة مات عنها زوجها ولم يفرض لها صداقاً: «لَهَا مِثْلَ مَهْرِ نِسَائِهَا...»;علقمة عن عبد الله بن مسعود;رواه أحمد والخمسة وصححه الترمذي;صحيح (شهد به معقل بن سنان)
2733;«قَضَى رَسُولُ اللَّهِ ﷺ فِي بَرْوَعَ بِنْتِ وَاشِقٍ... بِمِثْلِ مَا قَضَى بِهِ عَبْدُ اللهِ»;معقل بن سنان الأشجعي;رواه أحمد وأبو داود والنسائي والترمذي;صحيح
2734;حديث علي في قصة نكاح فاطمة: «أَعْطِهَا شَيْئاً، قَالَ: مَا عِنْدِي شَيْءٌ، قَالَ: أَيْنَ دِرْعُكَ الْحُطَمِيَّةُ؟»;علي بن أبي طالب;رواه أحمد وأبو داود والنسائي;صحيح الإسناد
2735;«أَيُّمَا امْرَأَةٍ نُكِحَتْ عَلَى صَدَاقٍ أَوْ حِبَاءٍ أَوْ عِدَةٍ قَبْلَ عِصْمَةِ النِّكَاحِ فَهُوَ لَهَا...»;عمرو بن شعيب عن أبيه عن جده;رواه الخمسة إلا الترمذي;حسن
2736;«أَوْلِمْ وَلَوْ بِشَاةٍ» (ورد ضمناً في قصة زواج عبد الرحمن بن عوف);أنس بن مالك;رواه الجماعة;صحيح (متفق عليه)
2737;«مَا أَوْلَمَ رَسُولُ اللهِ ﷺ عَلَى امْرَأَةٍ مِنْ نِسَائِهِ مَا أَوْلَمَ عَلَى زَيْنَبَ، أَوْلَمَ بِشَاةٍ»;أنس بن مالك;رواه الجماعة إلا الترمذي;صحيح
2738;«أَنَّ النَّبِيَّ ﷺ أَوْلَمَ عَلَى صَفِيَّةَ بِسَوِيقٍ وَتَمْرٍ»;أنس بن مالك;رواه أحمد وأبو داود والترمذي;صحيح
2739;«أَقَامَ النَّبِيُّ ﷺ بَيْنَ خَيْبَرَ وَالْمَدِينَةِ ثَلَاثَ لَيَالٍ يَبْنِي بِصَفِيَّةَ، فَأَمَرَ بِالْأَنْطَاعِ فَبُسِطَتِ فَأَلْقَى عَلَيْهَا التَّمْرَ وَالْأَقِطَ...»;أنس بن مالك;البخاري ومسلم وأحمد;صحيح (متفق عليه)
2740;«شَرُّ الطَّعَامِ طَعَامُ الْوَلِيمَةِ يُدْعَى لَهَا الْأَغْنِيَاءُ وَيُتْرَكُ الْفُقَرَاءُ، وَمَنْ لَمْ يُجِبِ الدَّعْوَةَ فَقَدْ عَصَى اللهَ وَرَسُولَهُ»;أبو هريرة;رواه الجماعة إلا الترمذي;صحيح
2741;«إِذَا دُعِيَ أَحَدُكُمْ إِلَى وَلِيمَةٍ فَلْيَأْتِهَا» وفي لفظ «فَلْيُجِبْ»;عبد الله بن عمر;رواه الجماعة ومسلم;صحيح
2742;«إِذَا دُعِيَ أَحَدُكُمْ إِلَى طَعَامٍ فَلْيُجِبْ، فَإِنْ شَاءَ طَعِمَ وَإِنْ شَاءَ تَرَكَ» وزاد أحمد «وَهُوَ صَائِمٌ»;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود وابن ماجه;صحيح
2743;«إِذَا دُعِيَ أَحَدُكُمْ فَلْيُجِبْ، فَإِنْ كَانَ صَائِماً فَلْيُصَلِّ (أَيْ يَدْعُ)، وَإِنْ كَانَ مُفْطِراً فَلْيَطْعَمْ»;أبو هريرة;رواه أحمد ومسلم وأبو داود والترمذي;صحيح
2744;حديث ابن عمر في نفي ركوب الأحدوثة والدعوة: «أن النبي ﷺ كان ينهى عن طعام التبارِي»;عبد الله بن عمر;السنن والمسند;صحيح بمجموع طرقه وشواهده
2745;أثر ابن مسعود: «أَنَّهُ كَانَ يَكْرَهُ طَعَامَ الْمُتَبَارِيَيْنِ»;عبد الله بن مسعود;سنن سعيد بن منصور;موقوف صحيح
2746;«إِذَا اجْتَمَعَ الدَّاعِيَانِ فَأَجِبْ أَقْرَبَهُمَا مِنْكَ بَاباً، فَإِنَّ أَقْرَبَهُمَا جِواراً، وَإِنْ سَبَقَ أَحَدُهُمَا فَأَجِبِ الَّذِي سَبَقَ»;حميد بن عبد الرحمن عن رجل من الصحابة;رواه أحمد وأبو داود;صحيح لغيره
2747;قصة وليمة النبي بصناعة أم سليم حيساً، وقوله لأنس: «اذْهَبْ فَادْعُ لِي فُلاناً وَفُلَانَا وَمَنْ لَقِيتَ»;أنس بن مالك;البخاري ومسلم;صحيح (متفق عليه، واللفظ لمسلم)
2748;«الْوَلِيمَةُ أَوَّلُ يَوْمٍ حَقٌّ، وَالثَّانِي مَعْرُوفٌ، وَالثَّالِثُ سُمْعَةٌ وَرِيَاءٌ»;رجل من ثقيف (له صحبة);رواه أحمد وأبو داود والترمذي;حسن لشواهده (وروي مرسلاً ومرفوعاً)
2749;«مَنْ سَمَّعَ سَمَّعَ اللهُ بِهِ، وَمَنْ رَاءَى رَاءَى اللهُ بِهِ»;جندب بن عبد الله العلقمي;متفق عليه (البخاري ومسلم);صحيح (ثابت في أعلى درجات الصحة)
2750;«دَعْوَةُ الْيَوْمِ الْأَوَّلِ حَقٌّ، وَدَعْوَةُ الْيَوْمِ الثَّانِي سُنَّةٌ، وَدَعْوَةُ الْيَوْمِ الثَّالِثِ سُمْعَةٌ»;أبو هريرة;رواه ابن ماجه;حسن بمجموع طرقه
2751;«أَنَّ ابْنَ عُمَرَ دُعِيَ إِلَى عُرْسٍ، فَرَأَى فِيهِ صُوَرًا (أَوْ تَمَاثِيلَ)، فَرَجَعَ وَلَمْ يَدْخُلْ»;نافع عن عبد الله بن عمر;رواه أحمد والبيهقي;موقوف صحيح
2752;«أَنَّهُ سَمِعَ النَّبِيَّ ﷺ يَنْهَى عَنِ النُّهْبَةِ وَالْخُلْسَةِ»;زيد بن خالد الجهني;رواه الإمام أحمد في المسند.;صحيح
2753;«أَنَّ النَّبِيَّ ﷺ نَهَى عَنِ الْمُثْلَةِ وَالنُّهْبَى»;عبد الله بن يزيد الأنصاري;رواه أحمد والبخاري.;صحيح
2754;«مَنِ انْتَهَبَ فَلَيْسَ مِنَّا»;أنس بن مالك / (وعمران بن حصين مثله);رواه أحمد والترمذي وصححه، لكن أعلّه أحمد وأبو حاتم والبخاري بالنكارة من طريق ثابت عن معمر.;منكر جداً (من حديث ثابت، وصححه الترمذي لغيره)
2755;«دُعِيَ عُثْمَانُ بْنُ أَبِي الْعَاصِ إِلَى خِتَانٍ فَأَبَى أَنْ يُجِيبَ...»;الحسن البصري عن عثمان بن أبي العاص;رواه الإمام أحمد في المسند.;صحيح الإسناد
2756;«فَصْلُ مَا بَيْنَ الْحَلَالِ وَالْحَرَامِ الدُّفُّ وَالصَّوْتُ فِي النِّكَاحِ»;محمد بن حاطب;رواه الخمسة إلا أبا داود، وقال الترمذي: حديث حسن.;حسن
2757;«أَعْلِنُوا هَذَا النِّكَاحَ وَاضْرِبُوا عَلَيْهِ بِالْغُرْبَالِ»;عائشة أم المؤمنين;رواه ابن ماجه، وفي إسناده خالد بن إلياس وهو متروك الحديث.;ضعيف جداً
2758;«أَنَّهَا زَفَّتِ امْرَأَةً إِلَى رَجُلٍ مِنَ الْأَنْصَارِ... فَإِنَّ الْأَنْصَارَ يُعْجِبُهُمُ اللَّهْوُ»;عائشة أم المؤمنين;رواه أحمد والبخاري.;صحيح
2759;«أَنَّ النَّبِيَّ ﷺ كَانَ يَكْرَهُ نِكَاحَ السِّرِّ حَتَّى يُضْرَبَ بِدُفٍّ وَيُقَالَ: أَتَيْنَاكُم...»;عمرو بن يحيى المازني عن جده أبي حسن;رواه عبد الله بن أحمد في زوائد المسند.;ضعيف جداً
2760;«أَنْكَحَتْ عَائِشَةُ ذَاتَ قَرَابَةٍ... إِنَّ الْأَنْصَارَ قَوْمٌ فِيهِم غَزَلٌ...»;عبد الله بن عباس;رواه ابن ماجه، وضعفه الألباني.;ضعيف
2761;«دَخَلَ عَلَيَّ النَّبِيُّ ﷺ غَدَاةَ بُنِيَ عَلَيَّ... وَجُوَيْرِيَاتٌ يَضْرِبْنَ بِالدُّفِّ...»;الربيع بنت معوذ;رواه الجماعة إلا مسلماً والنسائي.;صحيح
2762;«تَزَوَّجَنِي رَسُولُ اللهِ ﷺ فِي شَوَّالٍ، وَبَنَى بِي فِي شَوَّالٍ...»;عائشة أم المؤمنين;رواه أحمد ومسلم والنسائي.;صحيح
2763;«إِذَا أَفَادَ أَحَدُكُمُ امْرَأَةً أَوْ خَادِماً أَوْ دَابَّةً فَلْيَأْخُذْ بِنَاصِيَتِهَا...»;عمرو بن شعيب عن أبيه عن جده;رواه ابن ماجه، وأبو داود بمعناه.;صحيح أو حسن
2764;«لَعَنَ اللَّهُ الْوَاصِلَةَ وَالْمُسْتَوْصِلَةَ»;أسماء بنت أبي بكر / وعائشة;أخرجه البخاري ومسلم وأحمد من حديثهما.;متفق عليه
2765;«لَعَنَ الْوَاصِلَةَ وَالْمُسْتَوْصِلَةَ وَالْوَاشِمَةَ وَالْمُسْتَوْشِمَةَ»;عبد الله بن عمر;أخرجه البخاري ومسلم وأحمد.;متفق عليه
2766;«لَعَنَ اللهُ الْوَاشِمَاتِ وَالْمُسْتَوْشِمَاتِ وَالْمُتَنَمِّصَاتِ وَالْمُتَفَلِّجَاتِ لِلْحُسْنِ...»;عبد الله بن مسعود;أخرجه البخاري ومسلم وأحمد.;متفق عليه
2767;«إِنَّمَا هَلَكَتْ بَنُو إِسْرَائِيلَ حِينَ اتَّخَذَ هَذِهِ نِسَاؤُهُمْ» (وتناول قصة من شعر);معاوية بن أبي سفيان;أخرجه البخاري ومسلم وأحمد.;متفق عليه
2768;«أَيُّمَا امْرَأَةٍ أَدْخَلَتْ فِي شَعْرِهَا مِنْ شَعْرِ غَيْرِهَا فَإِنَّمَا تُدْخِلُهُ زُوراً»;معاوية بن أبي سفيان;رواه أحمد، ورواه النسائي بلفظ: «أَيُّمَا امْرَأَةٍ زَادَتْ فِي شَعْرِهَا شَعْرَاً لَيْسَ مِنْهُ...».;صحيح (ومعناه متفق عليه)
2769;«يَنْهَى عَنِ النَّامِصَةِ وَالْوَاشِرَةِ وَالْوَاصِلَةِ وَالْوَاشِمَةِ إِلَّا مِنْ دَاءٍ»;عبد الله بن مسعود;رواه الإمام أحمد في المسند.;صحيح
2770;«كَانَ النَّبِيُّ ﷺ يَلْعَنُ الْقَاشِرَةَ وَالْمَقْشُورَةَ، وَالْوَاشِمَةَ وَالْمُسْتَوَشِمَةَ...»;عائشة أم المؤمنين;رواه الإمام أحمد في المسند.;صحيح الإسناد
2771;«قصة امرأة عثمان بن مظعون حين تركت الطيب والاختضاب لتبتل زوجها»;عائشة أم المؤمنين;رواه الإمام أحمد في المسند.;ضعيف
2772;«سألتها امرأة: ما تقولين... في الحناء؟ فقالت: كان حبيبي يعجبه لونه ويكره ريحه...»;كريمة بنت همام عن عائشة;رواه الإمام أحمد في المسند.;ضعيف الإسناد
2773;«لَعَنَ رَسُولُ اللهِ ﷺ الْمُتَشَبِّهِينَ مِنَ الرِّجَالِ بِالنِّسَاءِ وَالْمُتَشَبِّهَاتِ...»;عبد الله بن عباس;رواه أحمد والبخاري (بلفظه ولفظ المخنثين والمترجلات والأمر بإخراجهم).;صحيح
2774;«لَوْ أَنَّ أَحَدكُمْ إِذَا أَتَى أَهْلَهُ قَالَ: بِسْمِ اللَّهِ، اللَّهُمَّ جَنِّبْنَا الشَّيْطَانَ...»;عبد الله بن عباس;أخرجه البخاري ومسلم وأحمد وأبو داود والترمذي وابن ماجه.;صحيح (رواه الجماعة إلا النسائي)
2775;«إِذَا أَتَى أَحَدُكُمْ أَهْلَهُ فَلْيَسْتَتِرْ وَلَا يَتَجَرَّدَا تَجَرُّدَ الْعِيرَيْنِ»;عتبة بن عبد السلمي;رواه ابن ماجه في السنن.;ضعيف (لجهالة تابعيه)
2776;"«إِيَّاكُمْ وَالتَّعَرِّيَ؛ فَإِنَّ مَعَكُمْ مَنْ لَا يُفَارِقُكُمْ إِلَّا عِنْدَ الْغَائِطِ...»";عبد الله بن عمر;رواه الترمذي.;ضعيف (وقال الترمذي حسن غريب)
2777;«كُنَّا نَعْزِلُ عَلَى عَهْدِ رَسُولِ اللهِ ﷺ وَالْقُرْآنُ يَنْزِلُ»;جابر بن عبد الله;أخرجه البخاري ومسلم، وزاد مسلم: «فَبَلَغَهُ ذَلِكَ فَلَمْ يَنْهَنَا».;متفق عليه
2778;«إِنَّ لِي جَارِيَةً هِيَ خَادِمَتُنَا... فَقَالَ: أَعْزِلْ عَنْهَا إِنْ شِئْتَ...»;جابر بن عبد الله;رواه أحمد ومسلم وأبو داود.;صحيح
2779;«خَرَجْنَا... فِي غَزْوَةِ بَنِي الْمُصْطَلَقِ... فَقَالَ: مَا عَلَيْكُمْ أَنْ لَا تَفْعَلُوا...»;أبو سعيد الخدري;أخرجه البخاري ومسلم وأحمد.;متفق عليه
2780;«قَالَتِ الْيَهُودُ: الْعَزْلُ الْمَوْؤُدَةُ الصُّغْرَى، فَقَالَ: كَذَبَتْ يَهُودٌ...»;أبو سعيد الخدري;رواه الإمام أحمد وأبو داود.;صحيح
2781;«قَالَ رَسُولُ اللهِ ﷺ فِي العزل: أَنْتَ تَخْلُقُهُ؟ أَنْتَ تَرْزُقُهُ؟ أَقِرَّهُ قَرَارَهُ...»;أبو سعيد الخدري;رواه الإمام أحمد في المسند.;صحيح
2782;«إِنِّي أَعْزِلُ عَنِ امْرَأَتِي... أُشْفِقُ عَلَى وَلَدِهَا... فَقَالَ: لَوْ كَانَ ضَارّاً ضَرَّ فَارِسَ وَالرُّومَ»;أسامة بن زيد;رواه الإمام أحمد ومسلم في صحيحيهما.;صحيح
2783;«لَقَدْ هَمَمْتُ أَنْ أَنْهَى عَنْ الْغِيلَةِ، فَنَظَرْتُ فِي الرُّومِ وَفَارِسَ...»;جذامة بنت وهب الأسدية;رواه الإمام أحمد ومسلم.;صحيح
2784;«أَنَّ النَّبِيَّ ﷺ كَانَ إِذَا رَفَّأَ الْإِنْسَانَ إِذَا تَزَوَّجَ قَالَ: بَارَكَ اللهُ لَكَ، وَبَارَكَ عَلَيْكَ...»;أبو هريرة رضي الله عنه;أحمد، وأبو داود، والترمذي وصححه، وابن ماجه;صحيح
2785;«أَنَّ النَّبِيَّ ﷺ رَأَى عَلَى عَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ أَثَرَ صُفْرَةٍ فَقَالَ: مَهْيَمْ؟...»;أنس بن مالك رضي الله عنه;الجماعة (البخاري، مسلم، أحمد، أبو داود، الترمذي، النسائي، ابن ماجه);متفق عليه
2786;«أَوْلِمْ وَلَوْ بِشَاةٍ»;أنس بن مالك رضي الله عنه;الجماعة (البخاري، مسلم، أحمد، أبو داود، الترمذي، النسائي، ابن ماجه);متفق عليه
2787;«أَقَامَ النَّبِيُّ ﷺ بَيْنَ خَيْبَرَ وَالْمَدِينَةِ ثَلَاثًا يُبْنَى عَلَيْهِ بِصَفِيَّةَ بِنْتِ حُيَيٍّ...»;أنس بن مالك رضي الله عنه;الجماعة إلا ابن ماجه;متفق عليه
2788;«مَا أَوْلَمَ النَّبِيُّ ﷺ عَلَى شَيْءٍ مِنْ نِسَائِهِ مَا أَوْلَمَ عَلَى خَدِيجَةَ، أَوْلَمَ بِشَاةٍ»;عائشة رضي الله عنها;أحمد، والبخاري، ومسلم;صحيح
2789;«مَا أَوْلَمَ رَسُولُ اللهِ ﷺ عَلَى امْرَأَةٍ مِنْ نِسَائِهِ أَكْثَرَ مِمَّا أَوْلَمَ عَلَى زَيْنَبَ...»;أنس بن مالك رضي الله عنه;أحمد، والبخاري، ومسلم;صحيح
2790;«تَزَوَّجَ رَسُولُ اللهِ ﷺ زَيْنَبَ بِنْتَ جَحْشٍ بِخُبْزٍ وَلَحْمٍ، فَأُرْسِلْتُ دَاعِيًا عَلَى الطَّعَامِ...»;أنس بن مالك رضي الله عنه;أحمد، والبخاري;صحيح
2791;«أَنَّ النَّبِيَّ ﷺ أَوْلَمَ عَلَى بَعْضِ نِسَائِهِ بِمُدَّيْنِ مِنْ شَعِيرٍ»;صَفِيَّة بنت شَيْبَة رضي الله عنها;البخاري;صحيح
2792;«أَنَّ رَسُولَ اللهِ ﷺ أَعْتَقَ صَفِيَّةَ وَجَعَلَ عِتْقَهَا صَدَاقَهَا، وَأَوْلَمَ عَلَيْهَا بِحَيْسٍ»;أنس بن مالك رضي الله عنه;أحمد، وأبو داود، والنسائي;صحيح
2793;«إِذَا دُعِيَ أَحَدُكُمْ إِلَى الْوَلِيمَةِ فَلْيَأْتِهَا»;ابن عمر رضي الله عنهما;الجماعة (البخاري، مسلم، أحمد، أبو داود، الترمذي، النسائي، ابن ماجه);متفق عليه
2794;«إِذَا دُعِيَ أَحَدُكُمْ فَلْيُجِبْ، فَإِنْ كَانَ مُفْطِرًا فَلْيَطْعَمْ، وَإِنْ كَانَ صَائِمًا فَلْيُصَلِّ»;أبو هريرة رضي الله عنه;أحمد، ومسلم، وأبو داود، والترمذي، وابن ماجه;صحيح
2795;«إِذَا اجْتَمَعَ الدَّاعِيَانِ فَأَجِبْ أَقْرَبَهُمَا بَابًا، فَإِنَّ أَقْرَبَهُمَا بَابًا أَقْرَبُهُمَا جِوَارًا...»;جندب بن عبد الله رضي الله عنه;أحمد، وأبو داود (وفيه انقطاع بذكر إرسال الشعبي);ضعيف (أو مرسل في أصح وجوهه)
2796;«شَرُّ الطَّعَامِ طَعَامُ الْوَلِيمَةِ، يُدْعَى لَهَا الْأَغْنِيَاءُ وَيُتْرَكُ الْفُقَرَاءُ...»;أبو هريرة رضي الله عنه;الجماعة إلا الترمذي (والبخاري ومسلم);متفق عليه
2797;«مَنْ لَمْ يُجِبِ الدَّعْوَةَ فَقَدْ عَصَى اللهَ وَرَسُولَهُ»;أبو هريرة رضي الله عنه;مالك، ومسلم، والبخاري تعليقاً;صحيح
2798;«مَنِ الدَّاعِي؟ قَالَ: أَبُو شُعَيْبٍ. قَالَ: إِنَّكَ دَعَوْتَنَا خَمْسَةً، وَهَذَا رَجُلٌ قَدْ تَبِعَنَا...»;ابن عمر رضي الله عنهما;الجماعة إلا النسائي;متفق عليه
